Name,Value,Type,Offset,Range,Set,Binding,Descriptor Type,Buffer
canvas_data,[...],struct CanvasData*,0,272,0,1,UNIFORM_BUFFER,0x000001f5414f9ba0 @ 0 B
canvas_data.canvas_transform,[...],mat4x4f,0,,,,,
C0,"[1.00, 0.00, 0.00, 0.00]",vec4f,0,,,,,
C1,"[0.00, 1.00, 0.00, 0.00]",vec4f,16,,,,,
C2,"[0.00, 0.00, 1.00, 0.00]",vec4f,32,,,,,
C3,"[0.00, 0.00, 0.00, 1.00]",vec4f,48,,,,,
canvas_data.screen_transform,[...],mat4x4f,64,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,64,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,80,,,,,
C2,"[0.00, 0.00, 1.00, 0.00]",vec4f,96,,,,,
C3,"[-1.00, -1.00, 0.00, 1.00]",vec4f,112,,,,,
canvas_data.canvas_normal_transform,[...],mat4x4f,128,,,,,
C0,"[1.00, 0.00, 0.00, 0.00]",vec4f,128,,,,,
C1,"[0.00, 1.00, 0.00, 0.00]",vec4f,144,,,,,
C2,"[0.00, 0.00, 1.00, 0.00]",vec4f,160,,,,,
C3,"[0.00, 0.00, 0.00, 1.00]",vec4f,176,,,,,
canvas_data.canvas_modulation,"[1.00, 1.00, 1.00, 1.00]",vec4f,192,,,,,
canvas_data.screen_pixel_size,"[0.00, 0.00]",vec2f,208,,,,,
canvas_data.time,3.79,float,216,,,,,
canvas_data.use_pixel_snap,0,uint32,220,,,,,
canvas_data.sdf_to_tex,"[0.00, 0.00, 0.14, 0.14]",vec4f,224,,,,,
canvas_data.screen_to_sdf,"[1152.00, 648.00]",vec2f,240,,,,,
canvas_data.sdf_to_screen,"[0.00, 0.00]",vec2f,248,,,,,
canvas_data.directional_light_count,0,uint32,256,,,,,
canvas_data.tex_to_sdf,1.00,float,260,,,,,
canvas_data.flags,0,uint32,264,,,,,
canvas_data.pad2,1065353216,uint32,268,,,,,
light_array,[...],struct LightData*,0,32768,0,2,UNIFORM_BUFFER,0x000001f5414f9d30 @ 0 B
light_array.data,[...],struct Light,0,,,,,
light_array.data[0],[...],struct Light,0,,,,,
light_array.data.texture_matrix,[...],mat2x4f,0,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,0,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,16,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,32,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,32,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,48,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,64,,,,,
light_array.data.shadow_color,0,uint32,80,,,,,
light_array.data.flags,0,uint32,84,,,,,
light_array.data.shadow_pixel_size,0.00,float,88,,,,,
light_array.data.height,0.00,float,92,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,96,,,,,
light_array.data.shadow_zfar_inv,0.00,float,104,,,,,
light_array.data.shadow_y_ofs,0.00,float,108,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,112,,,,,
light_array.data[1],[...],struct Light,128,,,,,
light_array.data.texture_matrix,[...],mat2x4f,128,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,128,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,144,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,160,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,160,,,,,
